iter	Passed	Remaining
401	16771	24948
402	16798	24885
403	16829	24828
404	16856	24765
405	16889	24710
406	16919	24651
407	16944	24586
408	16972	24525
409	17000	24464
410	17031	24408
411	17059	24347
412	17089	24289
413	17117	24229
414	17145	24169
415	17175	24111
416	17205	24054
417	17239	24003
418	17268	23945
419	17299	23890
420	17352	23864
421	17413	23850
422	17448	23800
423	17474	23739
424	17507	23687
425	17537	23630
426	17567	23574
427	17602	23524
428	17638	23476
429	17687	23446
430	17744	23426
431	17790	23391
432	17853	23379
433	17901	23346
434	17946	23310
435	18002	23287
436	18051	23256
437	18101	23225
438	18150	23194
439	18200	23164
440	18250	23133
441	18297	23099
442	18365	23091
443	18409	23052
444	18468	23033
445	18520	23005
446	18619	23034
447	18680	23016
448	18746	23005
449	18803	22982
450	18897	23003
451	18939	22961
452	18981	22920
453	19033	22890
454	19075	22848
455	19120	22810
456	19162	22769
457	19226	22752
458	19286	22732
459	19337	22700
460	19405	22688
461	19468	22671
462	19509	22627
463	19546	22580
464	19591	22541
465	19637	22503
466	19678	22459
467	19720	22416
468	19755	22366
469	19795	22322
470	19840	22283
471	19884	22243
472	19933	22208
473	19985	22178
474	20035	22144
475	20120	22149
476	20203	22152
477	20271	22137
478	20324	22106
479	20375	22073
480	20423	22036
481	20473	22002
482	20536	21982
483	20584	21945
484	20653	21931
485	20708	21901
486	20760	21869
487	20814	21838
488	20873	21812
489	20940	21795
490	20984	21753
491	21041	21725
492	21098	21697
493	21153	21667
494	21217	21645
495	21266	21609
496	21334	21591
497	21392	21564
498	21443	21529
499	21491	21491
500	21541	21455
501	21593	21421
502	21637	21379
503	21674	21330
504	21747	21316
505	21803	21286
506	21846	21243
507	21908	21218
508	21994	21216
509	22105	21238
510	22159	21205
511	22239	21196
512	22290	21161
513	22338	21122
514	22409	21103
515	22451	21059
516	22497	21018
517	22540	20974
518	22601	20946
519	22641	20899
520	22774	20938
521	22885	20956
522	22949	20931
523	23007	20900
524	23074	20876
525	23141	20853
526	23187	20811
527	23235	20771
528	23301	20746
529	23361	20716
530	23426	20691
531	23484	20659
532	23559	20642
533	23620	20612
534	23694	20593
535	23794	20598
536	23877	20586
537	24000	20609
538	24040	20561
539	24076	20509
540	24109	20454
