iter	Logloss
0	0.6251099333
1	0.5675982774
2	0.520873205
3	0.4795021486
4	0.4446533947
5	0.4154921762
6	0.3892018023
7	0.3674688885
8	0.3480138642
9	0.3309640688
10	0.3154787079
11	0.3026630085
12	0.2919923242
13	0.2828651823
14	0.2744455279
15	0.2666556532
16	0.2598980758
17	0.2539614245
18	0.2485773715
19	0.2436942772
20	0.2393956551
21	0.2344307802
22	0.2304203012
23	0.226918354
24	0.2239197429
25	0.2209766932
26	0.2180717854
27	0.2154434822
28	0.2132876341
29	0.2110023865
30	0.2086572256
31	0.2067533682
32	0.204645632
33	0.2031094235
34	0.2016453235
35	0.2004394856
36	0.1988702208
37	0.1971106558
38	0.1956828468
39	0.1942075529
40	0.1929428044
41	0.1918516936
42	0.1909273892
43	0.1896655969
44	0.1889015668
45	0.1878164283
46	0.1868995575
47	0.1858911928
48	0.1853210097
49	0.1842195743
50	0.1835018892
51	0.1824048143
52	0.1814265533
53	0.1806887152
54	0.1799041372
55	0.1787145528
56	0.1782364225
57	0.1773598262
58	0.1764431652
59	0.175726362
60	0.174879956
61	0.1740009984
62	0.173672119
63	0.1730496215
64	0.172459403
65	0.171579422
66	0.1710694586
67	0.1706221718
68	0.1700892643
69	0.1696272933
70	0.1691389761
71	0.1687446945
72	0.1682292308
73	0.1676795737
74	0.1672570212
75	0.1667053792
76	0.1662717568
77	0.1659223689
78	0.165614981
79	0.1650475527
80	0.1646011805
81	0.1641585914
82	0.1638960188
83	0.1635976798
84	0.163266906
85	0.1627679061
86	0.1621824478
87	0.1616062801
88	0.1611729419
89	0.1609783804
90	0.1607170333
91	0.1602585167
92	0.1598318968
93	0.1592883699
94	0.1588909881
95	0.1584612657
96	0.1580851983
97	0.1578723666
98	0.157255338
99	0.1569442343
100	0.1566423146
101	0.1561954992
102	0.1558262703
103	0.1554110195
104	0.1552061512
105	0.1547793718
106	0.1543516978
107	0.1539553703
108	0.1535421312
109	0.1533327022
110	0.153119895
111	0.1526431952
112	0.1522596753
113	0.1520334584
114	0.1517407021
115	0.1514780876
116	0.1511129097
117	0.1506272937
118	0.1503004563
119	0.1498811902
120	0.1496605938
121	0.1493540412
122	0.1489008107
123	0.1484771112
124	0.1481527972
125	0.1478849701
126	0.1476019852
127	0.1471977996
128	0.1468785532
129	0.1466215639
130	0.1462763506
131	0.1459398386
132	0.1458198781
133	0.145621124
134	0.1453394631
135	0.145058256
136	0.1447726096
137	0.1445001198
138	0.1442524489
139	0.1438857829
140	0.1436806797
141	0.1434024741
142	0.143239781
143	0.1429950374
144	0.1427744132
145	0.1425065864
146	0.1423142967
147	0.1421533505
148	0.1418120886
149	0.1414647686
150	0.1411631098
151	0.1408972922
152	0.1405264298
153	0.140343359
154	0.1400852375
155	0.1398459754
156	0.1397437001
157	0.139503205
158	0.139155604
159	0.1388802942
160	0.1385673155
161	0.138342031
162	0.1382336831
163	0.1379120579
164	0.1376157928
165	0.1374328749
166	0.1372499644
167	0.1369298202
168	0.1367070249
169	0.1364602999
170	0.1361375473
171	0.1360115855
172	0.1356501665
173	0.1354358252
174	0.1351706174
175	0.1348910603
176	0.1347539122
177	0.13453006
178	0.134238751
179	0.1339289872
180	0.1337062795
181	0.1336085138
182	0.1332720686
183	0.1329868757
184	0.1328560229
185	0.132643856
186	0.132341002
187	0.1321173581
188	0.1319049281
189	0.1317949973
190	0.1315964912
191	0.1313471843
192	0.1311361321
193	0.1309341491
194	0.1307472643
195	0.1305028761
196	0.1303023315
197	0.13007727
198	0.1298821656
199	0.1295760017
200	0.129293162
201	0.1291264321
202	0.1288913508
203	0.1287318415
204	0.1285471736
205	0.128326048
206	0.128075794
207	0.1279915369
208	0.1276364128
209	0.1273807125
210	0.1271946426
211	0.1270030484
212	0.1267801298
213	0.1265890672
214	0.1264359848
215	0.1262707895
216	0.1261364076
217	0.1258868668
218	0.1257396206
219	0.1255031157
220	0.1253268658
221	0.1250996855
222	0.1248933453
223	0.1246081668
224	0.1244971028
225	0.1241576363
226	0.1239297916
227	0.123667689
228	0.1234826595
229	0.1232850816
230	0.1231089083
231	0.122930289
232	0.1227302748
233	0.1225069686
234	0.1223843457
235	0.1222144407
236	0.1220492321
237	0.1219334186
238	0.1218500148
239	0.1215975538
240	0.1214295181
241	0.1211458448
242	0.1210297543
243	0.1209338042
244	0.120789581
245	0.1204923028
246	0.1202944378
247	0.1200771389
248	0.1199541141
249	0.1198735695
250	0.1196027586
251	0.1194204611
252	0.1191953337
253	0.1189445334
254	0.1186954431
255	0.1185023086
256	0.1183745336
257	0.1182467901
258	0.1181079894
259	0.1178870959
260	0.1177495905
261	0.117639182
262	0.1175888413
263	0.1174889864
264	0.1173638291
265	0.1172275485
266	0.1170332391
267	0.1168826513
268	0.1167862674
269	0.1165577501
270	0.1162672209
271	0.1160806774
272	0.1159141364
273	0.1157879783
274	0.1156374551
275	0.1154397437
276	0.1152710652
277	0.1150765611
278	0.1149609419
279	0.114749746
280	0.114590801
281	0.1144925779
282	0.114311374
283	0.1142102761
284	0.1141050455
285	0.1139836079
286	0.1137291417
287	0.1135676823
288	0.113456289
289	0.1133595443
290	0.1132221289
291	0.1129515095
292	0.1127789394
293	0.1126014669
294	0.1125173803
295	0.1123613926
296	0.112171866
297	0.1120243037
298	0.1118751266
299	0.1117069877
300	0.1115558934
301	0.1113838232
302	0.1112500273
303	0.1111477817
304	0.1110144953
305	0.1108216477
306	0.1107197908
307	0.1106557784
308	0.1104338129
309	0.1103529854
310	0.1102683658
311	0.1100212427
312	0.1099744356
313	0.1098460986
314	0.1097140795
315	0.1096607764
316	0.1095435068
317	0.1094094719
318	0.1091569332
319	0.1091290243
320	0.1090110684
321	0.1088948508
322	0.1088186648
323	0.1087128248
324	0.1085619473
325	0.1085201123
326	0.1083024188
327	0.108207636
328	0.1079853446
329	0.1079036874
330	0.1077251144
331	0.1076139612
332	0.1074868645
333	0.1074550336
334	0.1072754285
335	0.1071914345
336	0.1070303324
337	0.1068564466
338	0.1067435317
339	0.1065784818
340	0.1064129097
341	0.106308928
342	0.1061801416
343	0.1060721171
344	0.1058854821
345	0.1058053569
346	0.1056906306
347	0.1055875228
348	0.1053861009
349	0.1052526822
350	0.1051343699
351	0.1049397094
352	0.1048070886
353	0.1046728499
354	0.1044790817
355	0.1043458944
356	0.1042448141
357	0.1041243849
358	0.1040304104
359	0.1039320438
360	0.1037829783
361	0.1036629076
362	0.103576388
363	0.1034815033
364	0.1034605905
365	0.1032871336
366	0.1030883564
367	0.1029687533
